ID,Code,Name,Coordinates,Description,Zone ID,URL,Location Type,Parent Station ID,Timezone,Wheelchair Boarding
00334,,Carruthers Avenue (east side of Regent),"44.23544, -76.50899",,,,,,,0
00331,,Dunlop Street (east side of Regent),"44.23712, -76.50915",,,,,,,0
00330,,Park Street (east side of Regent),"44.23822, -76.50929",,,,,,,0
00325,,Park Street (east side of Palace),"44.2384, -76.51418",,,,,,,0
00326,,Wright Crescent (east side of Palace),"44.24005, -76.51435",,,,,,,0
02044,,Regent Street (south side of Park),"44.23833, -76.50949",,,,,,,0
00332,,Dunlop Street (west side of Regent),"44.23699, -76.50931",,,,,,,0
00333,,Carruthers Avenue (west side of Regent),"44.2356, -76.50918",,,,,,,0
00726,,Binnington Court (north side of Dalton),"44.27026, -76.52853",,,,,,,0
00725,,Grant Timmins Drive (west side of Binnington),"44.26715, -76.52879",,,,,,,0
00827,,442 Dalton Avenue (south side),"44.26881, -76.51267",,,,,,,0
00830,,St. Remy Place (south side of Dalton),"44.26785, -76.51036",,,,,,,0
09069,,212 Dalton Avenue (south side),"44.26784, -76.5079",,,,,,,0
S00730,,Warne Crescent (south side of Dalton),"44.26569, -76.50219",,,,,,,0
09050,,Lappan's Lane (north side of John Counter),"44.2594, -76.50997",,,,,,,0
02050,,MTO Office (north side of John Counter),"44.2591, -76.51521",,,,,,,0
00834,,Aberfoyle Road (north side of John Counter),"44.25907, -76.52175",,,,,,,0
00824,,Gardiners Road (south side of Cataraqui Woods),"44.26708, -76.56984",,,,,,,0
00388,,McMichael Street (south side of Glengarry),"44.25262, -76.52567",,,,,,,0
00242,,Seventh Avenue (east side of Kingscourt),"44.24743, -76.50155",,,,,,,0
00241,,Oak Street (east side of Kingscourt),"44.25008, -76.50174",,,,,,,0
00240,,Kingscourt Avenue (south side of Kirkpatrick),"44.25324, -76.50138",,,,,,,0
00237,,Theresa Crescent (north side of Kirkpatrick),"44.25346, -76.49797",,,,,,,0
00239,,Kingscourt Avenue (north side of Kirkpatrick),"44.25335, -76.50146",,,,,,,0
00863,,Third Avenue (west side of Kingscourt),"44.2447, -76.50152",,,,,,,0
00865,,Concession Street (west side of Kingscourt),"44.24148, -76.50123",,,,,,,0
00762,,Macdonnell Street (north side of Concession),"44.24132, -76.50563",,,,,,,0
00368,,Leroy Grant Drive (north side of Concession),"44.24203, -76.5083",,,,,,,0
S09035,,Glen Castle Road (south side of Henderson),"44.22811, -76.57932",,,,,,,0
S09039,,Portsmouth Avenue (south side of King),"44.22031, -76.52521",,,,,,,0
S09041,,1055 Princess Street/Kingston Centre (north side),"44.24375, -76.51695",,,,,,,0
00708,,Jean Royce Hall (south side of West Campus Lane),"44.2246, -76.51594",,,,,,,0
00706,,John Orr Tower (east side of West Campus Lane),"44.22576, -76.51402",,,,,,,0
09078,,1281 Midland Avenue (west side),"44.27126, -76.57434",,,,,,,0
09083,,321 Yonge Street (east side),"44.22748, -76.51811",,,,,,,0
S02082,,Cataraqui Centre Transfer Point Platform 5,"44.25508, -76.57271",,,,,,,0
S02083,,Cataraqui Centre Transfer Point Platform 6,"44.25498, -76.57283",,,,,,,0
09088,,Earl Street (west side of University),"44.22995, -76.4957",,,,,,,0
00814,,695 Innovation Drive (south side),"44.27206, -76.43939",,,,,,,0
S02038,,Downtown Transfer Point Platform 5,"44.2316, -76.48413",,,,,,,0
09238,,Sutherland Drive (east side of Montreal),"44.26885, -76.47905",,,,,,,0
09091,,Bayridge Drive (south side of Hudson),"44.24499, -76.5907",,,,,,,0
09093,,Ordnance Street (east side of Bagot),"44.23461, -76.48371",,,,,,,0
09094,,326 Sutherland Drive (east side),"44.26673, -76.48887",,,,,,,0
09095,,Markers Acres Park (west side of Sutherland),"44.26678, -76.48906",,,,,,,0
09240,,Ordnance Street (west side of Montreal),"44.23495, -76.48518",,,,,,,0
09096,,Highway 15 (south side of Highway 2),"44.23973, -76.45767",,,,,,,0
09097,,Markland Street (west side of Montreal),"44.23848, -76.48564",,,,,,,0
09007,,McEwen Drive (south side of Bath),"44.23738, -76.57337",,,,,,,0
09236,,Brock Street (west side of University),"44.23272, -76.49577",,,,,,,0
09098,,Johnson Street (east side of Albert),"44.23145, -76.50006",,,,,,,0
09099,,Alfred Street (south side of Union),"44.22769, -76.49717",,,,,,,0
00752,,933 John Marks Avenue (north side),"44.27489, -76.43906",,,,,,,0
09104,,McDonough Crescent (south side of Kildare),"44.21979, -76.66402",,,,,,,0
03027,,King Street (south side of Barrack),"44.23307, -76.48065",,,,,,,0
09120,,McEwen Drive (south side of Henderson),"44.22821, -76.5733",,,,,,,0
09127,,VIA Rail Station (west side of Old Mill),"44.25773, -76.53782",,,,,,,0
09109,,Holden Street (north side of Cataraqui Woods),"44.26722, -76.58913",,,,,,,0
09112,,Horizon Drive (west side of Holden),"44.26471, -76.58996",,,,,,,0
09125,,Evergreen Drive (east side of Rosanna),"44.26508, -76.59989",,,,,,,0
09117,,Larchwood Crescent (south side of Cataraqui Woods),"44.2665, -76.58353",,,,,,,0
09126,,Bittersweet Place (south side of Cataraqui Woods),"44.26723, -76.57657",,,,,,,0
09304,,Liston Drive (north side of Taylor-Kidd),"44.25162, -76.59427",,,,,,,0
780,,St. Remy Place (south side of Dalton),"44.2678462900222, -76.5103579033167",,,,,,,0
781,,212 Dalton Avenue (south side),"44.2678381595761, -76.507895635441",,,,,,,0
00799,,Norwest Road (east side of Midland),"44.25722, -76.57395",,,,,,,0
00850,,Centennial Drive (south side of Cataraqui Woods),"44.26926, -76.55933",,,,,,,0
09075,,Crossfield Avenue (west side of Andersen),"44.26475, -76.54892",,,,,,,0
00858,,Chadwick Parkette (west side of Andersen),"44.26208, -76.54846",,,,,,,0
00407,,Vanguard Court (east side of Waterloo),"44.25257, -76.54781",,,,,,,0
00586,,Centennial Drive (north side of Davis),"44.25628, -76.55977",,,,,,,0
00591,,Bigham Court (south side of Davis),"44.25288, -76.5642",,,,,,,0
00050,,Trillium Ridge (west side of Edgar),"44.25049, -76.55295",,,,,,,0
00098,,Bexley Gate (north side of Taylor-Kidd),"44.25125, -76.5613",,,,,,,0
00815,,RioCan Centre (north side of Taylor-Kidd),"44.25096, -76.56476",,,,,,,0
00618,,Blackburn Mews (north side of Taylor-Kidd),"44.2507, -76.57043",,,,,,,0
00094,,Kimberley Street (east side of Old Colony),"44.252, -76.57695",,,,,,,0
00096,,Ridley Drive (east side of Old Colony),"44.25383, -76.57724",,,,,,,0
00635,,Sutton Mills Court (east side of Ridley),"44.25557, -76.57585",,,,,,,0
00736,,Norwest Road (east side of Ridley),"44.2571, -76.57689",,,,,,,0
00111,,257 Bath Road (north side),"44.24018, -76.52331",,,,,,,0
00509,,Grenville Road (north side of Bath),"44.23913, -76.53313",,,,,,,0
02063,,258 Queen Mary Road (west side),"44.23777, -76.53599",,,,,,,0
00507,,Queen Mary Road (south side of Robert Wallace),"44.23442, -76.53287",,,,,,,0
00467,,Curtis Crescent (west side of Portsmouth),"44.227, -76.52586",,,,,,,0
00309,,Johnson Street (east side of Ontario),"44.22851, -76.4812",,,,,,,0
S02037,,Downtown Transfer Point Platform 3,"44.23107, -76.48491",,,,,,,0
00312,,Gore Street (west side of Ontario),"44.22594, -76.48382",,,,,,,0
00323,,George Street (north side of King),"44.22275, -76.49131",,,,,,,0
00414,,Alwington Avenue (north side of King),"44.22139, -76.51031",,,,,,,0
00458,,McDonald Avenue (north side of King),"44.22065, -76.52246",,,,,,,0
00459,,Portsmouth Avenue (north side of King),"44.22055, -76.52471",,,,,,,0
00460,,Baiden Street (east side of Portsmouth),"44.22158, -76.52514",,,,,,,0
00490,,Portsmouth Avenue (north side of Johnson),"44.23014, -76.52666",,,,,,,0
00505,,Polson Park School (north side of Robert Wallace),"44.23486, -76.52955",,,,,,,0
02064,,Notch Hill Road (east side of Queen Mary),"44.23726, -76.53553",,,,,,,0
00521,,Country Club Drive (north side of King),"44.22032, -76.52983",,,,,,,0
09043,,Reddendale Plaza (north side of Front),"44.21842, -76.57048",,,,,,,0
00546,,Evelyn Street (east side of Lakeview),"44.22108, -76.5718",,,,,,,0
00549,,Meadowcrest Road (east side of Lakeview),"44.22385, -76.57203",,,,,,,0
00555,,Acron Street (east side of McEwen),"44.23163, -76.57391",,,,,,,0
S02074,,Gardiners Centre Transfer Point,"44.23613, -76.56781",,,,,,,0
S02003,,Bayridge Centre (east side of Bayridge),"44.25076, -76.58933",,,,,,,0
00641,,Woodbine Road (east side of Bayridge),"44.25867, -76.58392",,,,,,,0
09057,,Princess Street (south side) east of Bayridge,"44.25925, -76.58129",,,,,,,0
00741,,2698 Princess Street (north side),"44.25882, -76.57651",,,,,,,0
00739,,Princess Street (north side) east of Bayridge,"44.25943, -76.581",,,,,,,0
02002,,Pembridge Crescent (south side of Taylor-Kidd),"44.249, -76.5854",,,,,,,0
00615,,Gardiners Road (south side of Progress),"44.24654, -76.5684",,,,,,,0
09208,,RioCan Centre (west side of Gardiners),"44.24433, -76.56808",,,,,,,0
09228,,Development Drive (west side of Gardiners),"44.242, -76.56793",,,,,,,0
S02075,,Gardiners Centre Transfer Point,"44.23581, -76.568",,,,,,,0
00558,,Bath Road (west side of McEwen),"44.23699, -76.5746",,,,,,,0
S00034,,Trailhead Place (south side of King),"44.21991, -76.53797",,,,,,,0
00520,,Lake Ontario Park (south side of King),"44.22008, -76.53028",,,,,,,0
09053,,Bayridge Centre (north side of Taylor-Kidd),"44.25074, -76.59046",,,,,,,0
