CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CYCLE_WIDTH,GeoJSON,geo_point_2d
Route,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4940168, 44.2372622], [-76.4941378, 44.2378572]], ""type"": ""LineString""}","44.237559700000006, -76.4940773"
Bike Lane,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4442018, 44.2753349], [-76.4447752, 44.2748104], [-76.444953, 44.2746443], [-76.4452568, 44.2743781], [-76.4462276, 44.2735299], [-76.4466329, 44.273167], [-76.4471358, 44.2727218]], ""type"": ""LineString""}","44.27402399190022, -76.44566485786858"
Bike Lane,,Approved for Construction,Development Charge Project,,"{""coordinates"": [[-76.4621568, 44.2444755], [-76.4622583, 44.2446148], [-76.4623242, 44.2447354], [-76.4623736, 44.2448562], [-76.4624136, 44.2449987], [-76.4624274, 44.2451533], [-76.4624204, 44.2452725], [-76.4624, 44.2453871], [-76.4623482, 44.2455688], [-76.4620337, 44.2463323]], ""type"": ""LineString""}","44.24539637821795, -76.46228664871538"
Bike Lane,,Approved for Construction,Development Charge Project,,"{""coordinates"": [[-76.4607954, 44.2500047], [-76.4607281, 44.2503907], [-76.4606708, 44.2507511], [-76.460634, 44.2511423], [-76.4606048, 44.251569], [-76.4605831, 44.2518956], [-76.4605017, 44.2535617]], ""type"": ""LineString""}","44.25177907178733, -76.46060853506698"
Bike Lane,,Approved for Construction,Development Charge Project,,"{""coordinates"": [[-76.4605017, 44.2535617], [-76.4604375, 44.2548857]], ""type"": ""LineString""}","44.2542237, -76.4604696"
Bike Lane,,Approved for Construction,Development Charge Project,,"{""coordinates"": [[-76.4604375, 44.2548857], [-76.4604217, 44.2561405], [-76.4604198, 44.2563311], [-76.4604069, 44.2567481], [-76.4603963, 44.2569912], [-76.460377, 44.2575489], [-76.4603468, 44.2582019], [-76.4603076, 44.2591173]], ""type"": ""LineString""}","44.25700192814381, -76.46038771879991"
Bike Lane,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4516835, 44.2685341], [-76.4505512, 44.269524], [-76.4493609, 44.2705944], [-76.447018, 44.2726607]], ""type"": ""LineString""}","44.27059703791701, -76.44935045081677"
Route,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4294236, 44.2910054], [-76.4301349, 44.2913443], [-76.4312863, 44.2919182], [-76.4315486, 44.2920674], [-76.4319491, 44.2923053], [-76.4322656, 44.2925038], [-76.4326091, 44.2927187], [-76.4331641, 44.2930381]], ""type"": ""LineString""}","44.29198154959826, -76.43131560241687"
Route,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4397404, 44.2942488], [-76.4400134, 44.2942324], [-76.4403336, 44.2942226], [-76.4405661, 44.2942125], [-76.4406513, 44.2941972], [-76.4407324, 44.2941761], [-76.4408566, 44.2941288], [-76.4409445, 44.294062], [-76.4409751, 44.2940116], [-76.4410052, 44.2939397], [-76.4410802, 44.2937516], [-76.4411063, 44.2936812], [-76.4411672, 44.2935661], [-76.4412898, 44.2933702], [-76.441353, 44.2932693], [-76.4414227, 44.2931913], [-76.4414971, 44.2931432]], ""type"": ""LineString""}","44.29391152317662, -76.44074434550588"
Route,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4303694, 44.2874284], [-76.4301537, 44.2877386], [-76.4299743, 44.2880602], [-76.4298324, 44.2883913], [-76.4295051, 44.2896626]], ""type"": ""LineString""}","44.288510548095545, -76.42985644074454"
Route,,Approved for Construction,Carryover Project,,"{""coordinates"": [[-76.4295051, 44.2896626], [-76.429279, 44.2904563], [-76.4291173, 44.2909014]], ""type"": ""LineString""}","44.29028528587531, -76.42932135323503"
